-17618.4,21392.4
-15636,23159.1
-14266.4,25908
-16889.8,23739.8
-16867,22235.1
-17019.6,25827.2
-16533.3,28434.8
-18492,22308.3
-18366.7,20910.3
-22983,19366.2
-20837.4,29202
-21362,31929.8
-17136.5,29962.3
-19364.5,32095.9
-23800.3,27590
-18482.7,23563.9
-17932.5,31360.9
-23853.5,29485.8
-21090,28682.1
-19067.6,30258.8
-20921.1,25207.3
-15067.2,31564
-19670.2,31465.2
-16299.1,20102.3
-19813.3,28806.4
-16563.4,27263.3
-17796.1,27172.7
-20988.4,31930.1
-15374.8,30374.6
-15072.8,31159.3
-18780.4,28623.5
-20359.7,23978.2
-21446,28354
-8739.51,28378.9
-10446.4,23625.5
-8051.1,20965.8
-23577.8,22013.1
-14113.8,25884.7
-12776,22196.1
-16327.4,23432
-15760.7,29016.5
-17819,28032.3
-16598.1,28378.1
-11123.7,29407.3
-21597,24490.2
-21208.9,33190.4
-19843.2,31650.6
-10514.1,33479.9
-11384.6,21099.3
-15783.9,20593.9
-20664,23873.1
-16985.8,26044.9
-13938.9,18346.7
-20313.7,31069.1
-18942,31035
-17663,28597.9
-19838.6,25816.3
-20240.2,25921.9
-29180.2,28289.4
-17804.2,31307.4
-19340.5,33469.6
-12276.4,32921.6
-8135.35,24847.5
-5856.98,20775.6
-15871.4,20075
-11212,25953.8
-6803.37,19785.9
-15321.4,18405.1
-13299.5,20351.4
-21753.7,24485.4
-16083.1,22433.3
-17780.7,31267.6
-11008.8,25171.9
-7073.33,23124.2
-14451.3,16390.8
-19058.8,20563.3
-16431.7,21313.5
-21296.7,25704.4
-18963.2,22618.4
-18677.4,24295.5
-17385.4,19291.7
-20142.8,23421.8
-18834.2,27657.2
-18580.6,24715.8
-18440.6,21655.7
-17736.3,27358.7
-18043,24095.5
-12115,26907.7
-11904.7,24517.4
-18849,25332.7
-18441.6,22638.3
-21095.2,23326.8
-18405.9,22356
-15311.3,20484.4
-11731.4,23729.6
-17178.9,22094
-15335.6,23584.4
-18554.4,21800.1
-17873.4,24503.2
-14490.3,20059.6
-17616.8,22860.8
-15698.4,27585.3
-16729.7,21048.2
-18888.6,18625.1
-14005.1,21008.8
-17300,18900.5
-14376.8,23977.6
-17636.6,23796
-19908.9,24360.1
-20121,22506
-16331.9,24235.2
-17702.1,25093.1
-18046.2,21442.2
-18410.6,23088.7
-17629.5,25042.5
-13690.2,20326
-15522.3,22122.8
-16372.8,22038
-15576.1,18915.7
-19601.9,24512.2
-16340.3,22008.8
-17059.1,23989.7
-15653.3,21317.2
-17699.3,18559.3
-18044.5,23211.9
-15477.3,22076
-15477.4,23066.6
-15656.3,21356.2
-17127,20917.6
-16650,24281.6
-16096.8,22023
-17881.3,21521.7
-16805.2,18003.4
-13278.2,20488.1
-14169,22186.1
-17507.5,20615.2
-17095.9,23064.2
-18643.8,13671.9
-17546.3,24455.2
-20772.7,22130.3
-11418.7,23419.6
-13271.1,25285
-15175,18061.8
-18573.5,18155.5
-11949.9,20509.8
-13226,15274.8
-4738.9,29218.5
-17497.2,23729.3
-17369.3,19226.5
-18468.8,20895.2
-14762.7,25790.7
-11604.3,19984
-17885.9,15972.7
-17700.1,20177.3
-19854,13438.4
-11152.9,21874.4
-21363.2,20967.4
-19995.2,18867.6
-26417,26371.4
2971,9826.03
-13571,24026.4
-14171.6,21725.9
-13927.3,25257.6
-17401.6,26607.8
-21943.1,18760.9
-13455.7,22630.9
-17317.2,20812.2
-15137.2,19666.5
-29619.3,25716.5
-19445.1,20767.1
-27115,23755.3
-18192.7,24433.8
-24352.5,-262.646
-8157.4,29712.2
-508.116,35244.3
-5190.26,22837.7
-7566.61,20525.2
-14493.2,32875
-7623.32,22370.3
-9310.94,15100
-13958,4551.67
-30756.1,26407.3
-14794.7,31925.6
-12882.6,23647.9
-13730.3,12393.3
-30646,2535.99
-7566.42,20459.7
-21375.9,16309.8
-21252.1,21850.8
-17779.8,20432.1
237.371,14437.3
-21690.2,25795.8
-34743,17575.1
-13010.1,25373.9
-26849.5,27779.4
